No,accessions,strain,anastomosis_group(AG),host_common,host_scientific,host_groups,host_group_summarized,host_solanaceae,country,state_province,collection_date,year,continent,region,Manuscript
68,MK583644,AG1-IB,AG1,lettuce,Lactuca sativa,Asteraceae,Other,Non_solanaceae,Belgium,,17-Apr,2017,Europe,Europe & Central Asia,"Claerbout et al., 2019 (https://doi.org/10.1007/s10658-019-01816-w)"
69,MK583628,AG1-IB,AG1,lettuce,Lactuca sativa,Asteraceae,Other,Non_solanaceae,Belgium,,16-Apr,2016,Europe,Europe & Central Asia,"Claerbout et al., 2019 (https://doi.org/10.1007/s10658-019-01816-w)"
70,MK583629,AG1-IB,AG1,lettuce,Lactuca sativa,Asteraceae,Other,Non_solanaceae,Belgium,,16-Apr,2016,Europe,Europe & Central Asia,"Claerbout et al., 2019 (https://doi.org/10.1007/s10658-019-01816-w)"
71,MH483965,JC1509103202,AG1,mustard,Brassica nigra,Brassicaceae,Brassicaceae,Non_solanaceae,China,NA,NA,2015,Asia,East Asia & Pacific,"Duo et al., 2018 (doi: 10?13926 /j.cnki.apps.000448)"
72,MH483962,GL1607010202,AG1,cabbage,Brassica oleracea var. capitata,Brassicaceae,Brassicaceae,Non_solanaceae,China,NA,NA,2016,Asia,East Asia & Pacific,"Duo et al., 2018 (doi: 10?13926 /j.cnki.apps.000448)"
73,MH483963,GL1508251301,AG1,cabbage,Brassica oleracea var. capitata,Brassicaceae,Brassicaceae,Non_solanaceae,China,NA,NA,2015,Asia,East Asia & Pacific,"Duo et al., 2018 (doi: 10?13926 /j.cnki.apps.000448)"
74,MH483964,XBC1409170901,AG1,bok choy,Brassica rapa subsp. chinensis,Brassicaceae,Brassicaceae,Non_solanaceae,China,NA,NA,2011,Asia,East Asia & Pacific,"Duo et al., 2018 (doi: 10?13926 /j.cnki.apps.000448)"
75,MK393912,,AG1,snapbean,Phaseolus vulgaris,Fabaceae,Fabaceae,Non_solanaceae,Brazil,,,2018,South America,Latin America & Caribbean,"Ferreira Quadros et al., 2019 (https://doi.org/10.1007/s42161-019-00341-3)"
76,JQ313811,DB DB 201211,AG1,winter savory,Satureja montana,Lamiaceae,Other,Non_solanaceae,Italy,NA,NA,2010,Europe,Europe & Central Asia,"Garibaldi et al., 2012 (DOI: 10.1094/PDIS-12-11-1075-PDN)"
77,KC493638,DB041212,AG1,oregano,Origanum vulgare,Lamiaceae,Other,Non_solanaceae,Italy,NA,NA,2012,Europe,Europe & Central Asia,"Garibaldi et al., 2013 (DOI: 10.1094/PDIS-02-13-0138-PDN)"
78,KC005724,DB070712,AG1,rosemary,Salvia rosmarinus,Lamiaceae,Other,Non_solanaceae,Italy,NA,NA,2012,Europe,Europe & Central Asia,"Garibaldi et al., 2013 (DOI: 10.1094/PDIS-11-12-1012-PDN)"
79,KF719317,NA,AG1,love-in-a-mist,Nigella damascena,Ranunculaceae,Other,Non_solanaceae,Italy,NA,NA,2013,Europe,Europe & Central Asia,"Garibaldi et al., 2014 (DOI:10.4454/JPP.V95I4.018)"
80,KM596899,NA,AG1,rose campion,Lychnis coronaria,Caryophyllaceae,Other,Non_solanaceae,Italy,NA,NA,2014,Europe,Europe & Central Asia,"Garibaldi et al., 2015 (DOI: 10.1094/PDIS-09-14-0970-PDN)"
81,KP081768,NA,AG1,creeping bellflower,Campanula rapunculoides,Campanulaceae,Other,Non_solanaceae,Italy,NA,NA,2014,Europe,Europe & Central Asia,"Garibaldi et al., 2015 (https://doi.org/10.1094/PDIS-11-14-1137-PDN)"
82,KP280313,NA,AG1,French lavender,Lavandula stoechas,Labiatae,Other,Non_solanaceae,Italy,NA,NA,2014,Europe,Europe & Central Asia,"Garibaldi et al., 2015 (https://doi.org/10.1094/PDIS-12-14-1349-PDN)"
83,MW369685,20/52,AG1,yarrow,Achillea millefolium,Asteraceae,Other,Non_solanaceae,Italy,,NA,2020,Europe,Europe & Central Asia,"Garibaldi et al., 2021 (https://doi.org/10.1007/s42161-021-00799-0)"
84,DQ447863,AG-1-IE,AG1,Andean common bean,Phaseolus vulgaris var. aborigineus,Fabaceae,Fabaceae,Non_solanaceae,Costa Rica,NA,NA,1995,North America,Latin America & Caribbean,"Godoy-Lutz, G. et al., 2008 (https://link.springer.com/article/10.1007/s10327-007-0060-6)"
85,DQ447866,AG-1-IE,AG1,Andean common bean,Phaseolus vulgaris var. aborigineus,Fabaceae,Fabaceae,Non_solanaceae,Costa Rica,NA,NA,1995,North America,Latin America & Caribbean,"Godoy-Lutz, G. et al., 2008 (https://link.springer.com/article/10.1007/s10327-007-0060-6)"
86,AF308631,AG-1-IA,AG1,common bean,Phaseolus vulgaris,Fabaceae,Fabaceae,Non_solanaceae,Cuba,NA,NA,1993,North America,Latin America & Caribbean,"Godoy-Lutz, G. et al., 2008 (https://link.springer.com/article/10.1007/s10327-007-0060-6)"
87,DQ447859,AG-1-IA,AG1,Andean common bean,Phaseolus vulgaris var. aborigineus,Fabaceae,Fabaceae,Non_solanaceae,Cuba,NA,NA,1993,North America,Latin America & Caribbean,"Godoy-Lutz, G. et al., 2008 (https://link.springer.com/article/10.1007/s10327-007-0060-6)"
88,DQ447878,AG-1-IF,AG1,Andean common bean,Phaseolus vulgaris var. aborigineus,Fabaceae,Fabaceae,Non_solanaceae,Dominican Republic,NA,NA,1994,North America,Latin America & Caribbean,"Godoy-Lutz, G. et al., 2008 (https://link.springer.com/article/10.1007/s10327-007-0060-6)"
89,AF308626,AG-1-IF,AG1,common bean,Phaseolus vulgaris,Fabaceae,Fabaceae,Non_solanaceae,Dominican Republic,NA,NA,1994,North America,Latin America & Caribbean,"Godoy-Lutz, G. et al., 2008 (https://link.springer.com/article/10.1007/s10327-007-0060-6)"
90,DQ447882,AG-1-IF,AG1,Andean common bean,Phaseolus vulgaris var. aborigineus,Fabaceae,Fabaceae,Non_solanaceae,Dominican Republic,NA,NA,1994,North America,Latin America & Caribbean,"Godoy-Lutz, G. et al., 2008 (https://link.springer.com/article/10.1007/s10327-007-0060-6)"
91,DQ447883,AG-1-IF,AG1,Andean common bean,Phaseolus vulgaris var. aborigineus,Fabaceae,Fabaceae,Non_solanaceae,Dominican Republic,NA,NA,1994,North America,Latin America & Caribbean,"Godoy-Lutz, G. et al., 2008 (https://link.springer.com/article/10.1007/s10327-007-0060-6)"
92,DQ447868,AG-1-IE,AG1,Andean common bean,Phaseolus vulgaris var. aborigineus,Fabaceae,Fabaceae,Non_solanaceae,El Salvador,NA,NA,1994,North America,Latin America & Caribbean,"Godoy-Lutz, G. et al., 2008 (https://link.springer.com/article/10.1007/s10327-007-0060-6)"
