No,accessions,strain,strain_summarized,anastomosis_group.AG.,host,host_common,host_scientific,host_families,host_group_summarized,country,state_province,collection_date,year,continent,region,Latitude,Longitude,manuscript
1124,KJ777569,NA,AG2-2IIIB,AG-2,potato,potato,Solanum tuberosum,Solanaceae,Solanaceae,South Africa,NA,NA,2014,Africa,Sub-Saharan Africa,-8.78,34.51,"Muzhinji et al., 2015 (https://apsjournals.apsnet.org/doi/epdf/10.1094/PDIS-02-15-0236-RE)"
1125,KJ777570,NA,AG2-2IIIB,AG-2,potato,potato,Solanum tuberosum,Solanaceae,Solanaceae,South Africa,NA,NA,2014,Africa,Sub-Saharan Africa,-8.78,34.51,"Muzhinji et al., 2015 (https://apsjournals.apsnet.org/doi/epdf/10.1094/PDIS-02-15-0236-RE)"
1126,KJ777571,NA,AG2-2IIIB,AG-2,potato,potato,Solanum tuberosum,Solanaceae,Solanaceae,South Africa,NA,NA,2014,Africa,Sub-Saharan Africa,-8.78,34.51,"Muzhinji et al., 2015 (https://apsjournals.apsnet.org/doi/epdf/10.1094/PDIS-02-15-0236-RE)"
1127,KJ777572,NA,AG2-2IIIB,AG-2,potato,potato,Solanum tuberosum,Solanaceae,Solanaceae,South Africa,NA,NA,2014,Africa,Sub-Saharan Africa,-8.78,34.51,"Muzhinji et al., 2015 (https://apsjournals.apsnet.org/doi/epdf/10.1094/PDIS-02-15-0236-RE)"
1128,KJ777580,NA,AG2-2IIIB,AG-2,potato,potato,Solanum tuberosum,Solanaceae,Solanaceae,South Africa,NA,NA,2014,Africa,Sub-Saharan Africa,-8.78,34.51,"Muzhinji et al., 2015 (https://apsjournals.apsnet.org/doi/epdf/10.1094/PDIS-02-15-0236-RE)"
1129,KJ777632,NA,AG2-2IIIB,AG-2,potato,potato,Solanum tuberosum,Solanaceae,Solanaceae,South Africa,NA,NA,2014,Africa,Sub-Saharan Africa,-8.78,34.51,"Muzhinji et al., 2015 (https://apsjournals.apsnet.org/doi/epdf/10.1094/PDIS-02-15-0236-RE)"
1130,KJ777643,NA,AG2-2IIIB,AG-2,potato,potato,Solanum tuberosum,Solanaceae,Solanaceae,South Africa,NA,NA,2014,Africa,Sub-Saharan Africa,-8.78,34.51,"Muzhinji et al., 2015 (https://apsjournals.apsnet.org/doi/epdf/10.1094/PDIS-02-15-0236-RE)"
1131,KJ777645,NA,AG2-2IIIB,AG-2,potato,potato,Solanum tuberosum,Solanaceae,Solanaceae,South Africa,NA,NA,2014,Africa,Sub-Saharan Africa,-8.78,34.51,"Muzhinji et al., 2015 (https://apsjournals.apsnet.org/doi/epdf/10.1094/PDIS-02-15-0236-RE)"
1721,KF234142,NA,AG3-PT,AG-3,potato,potato,Solanum tuberosum,Solanaceae,Solanaceae,South Africa,NA,NA,2012,Africa,Sub-Saharan Africa,-8.78,34.51,"Muzhinji et al., 2014 (DOI: 10.1094/PDIS-08-13-0815-PDN)"
1722,KF234143,NA,AG3-PT,AG-3,potato,potato,Solanum tuberosum,Solanaceae,Solanaceae,South Africa,NA,NA,2012,Africa,Sub-Saharan Africa,-8.78,34.51,"Muzhinji et al., 2014 (DOI: 10.1094/PDIS-08-13-0815-PDN)"
1723,KF234144,NA,AG3-PT,AG-3,potato,potato,Solanum tuberosum,Solanaceae,Solanaceae,South Africa,NA,NA,2012,Africa,Sub-Saharan Africa,-8.78,34.51,"Muzhinji et al., 2014 (DOI: 10.1094/PDIS-08-13-0815-PDN)"
1724,KJ777545,NA,AG3-PT,AG-3,potato,potato,Solanum tuberosum,Solanaceae,Solanaceae,South Africa,NA,NA,2014,Africa,Sub-Saharan Africa,-8.78,34.51,"Muzhinji et al., 2015 (https://apsjournals.apsnet.org/doi/epdf/10.1094/PDIS-02-15-0236-RE)"
1725,KJ777546,NA,AG3-PT,AG-3,potato,potato,Solanum tuberosum,Solanaceae,Solanaceae,South Africa,NA,NA,2014,Africa,Sub-Saharan Africa,-8.78,34.51,"Muzhinji et al., 2015 (https://apsjournals.apsnet.org/doi/epdf/10.1094/PDIS-02-15-0236-RE)"
1726,KJ777547,AG3,AG3-PT,AG-3,potato,potato,Solanum tuberosum,Solanaceae,Solanaceae,South Africa,,NA,2014,Africa,Sub-Saharan Africa,-8.78,34.51,"Muzhinji et al., 2015 (https://apsjournals.apsnet.org/doi/epdf/10.1094/PDIS-02-15-0236-RE)"
1727,KJ777548,NA,AG3-PT,AG-3,potato,potato,Solanum tuberosum,Solanaceae,Solanaceae,South Africa,NA,NA,2014,Africa,Sub-Saharan Africa,-8.78,34.51,"Muzhinji et al., 2015 (https://apsjournals.apsnet.org/doi/epdf/10.1094/PDIS-02-15-0236-RE)"
1728,KJ777549,NA,AG3-PT,AG-3,potato,potato,Solanum tuberosum,Solanaceae,Solanaceae,South Africa,NA,NA,2014,Africa,Sub-Saharan Africa,-8.78,34.51,"Muzhinji et al., 2015 (https://apsjournals.apsnet.org/doi/epdf/10.1094/PDIS-02-15-0236-RE)"
1729,KJ777550,NA,AG3-PT,AG-3,potato,potato,Solanum tuberosum,Solanaceae,Solanaceae,South Africa,NA,NA,2014,Africa,Sub-Saharan Africa,-8.78,34.51,"Muzhinji et al., 2015 (https://apsjournals.apsnet.org/doi/epdf/10.1094/PDIS-02-15-0236-RE)"
1730,KJ777551,NA,AG3-PT,AG-3,potato,potato,Solanum tuberosum,Solanaceae,Solanaceae,South Africa,NA,NA,2014,Africa,Sub-Saharan Africa,-8.78,34.51,"Muzhinji et al., 2015 (https://apsjournals.apsnet.org/doi/epdf/10.1094/PDIS-02-15-0236-RE)"
1731,KJ777552,NA,AG3-PT,AG-3,potato,potato,Solanum tuberosum,Solanaceae,Solanaceae,South Africa,NA,NA,2014,Africa,Sub-Saharan Africa,-8.78,34.51,"Muzhinji et al., 2015 (https://apsjournals.apsnet.org/doi/epdf/10.1094/PDIS-02-15-0236-RE)"
1732,KJ777553,NA,AG3-PT,AG-3,potato,potato,Solanum tuberosum,Solanaceae,Solanaceae,South Africa,NA,NA,2014,Africa,Sub-Saharan Africa,-8.78,34.51,"Muzhinji et al., 2015 (https://apsjournals.apsnet.org/doi/epdf/10.1094/PDIS-02-15-0236-RE)"
1733,KJ777554,NA,AG3-PT,AG-3,potato,potato,Solanum tuberosum,Solanaceae,Solanaceae,South Africa,NA,NA,2014,Africa,Sub-Saharan Africa,-8.78,34.51,"Muzhinji et al., 2015 (https://apsjournals.apsnet.org/doi/epdf/10.1094/PDIS-02-15-0236-RE)"
1734,KJ777555,AG3,AG3-PT,AG-3,potato,potato,Solanum tuberosum,Solanaceae,Solanaceae,South Africa,,NA,2014,Africa,Sub-Saharan Africa,-8.78,34.51,"Muzhinji et al., 2015 (https://apsjournals.apsnet.org/doi/epdf/10.1094/PDIS-02-15-0236-RE)"
1735,KJ777556,NA,AG3-PT,AG-3,potato,potato,Solanum tuberosum,Solanaceae,Solanaceae,South Africa,NA,NA,2014,Africa,Sub-Saharan Africa,-8.78,34.51,"Muzhinji et al., 2015 (https://apsjournals.apsnet.org/doi/epdf/10.1094/PDIS-02-15-0236-RE)"
1736,KJ777557,NA,AG3-PT,AG-3,potato,potato,Solanum tuberosum,Solanaceae,Solanaceae,South Africa,NA,NA,2014,Africa,Sub-Saharan Africa,-8.78,34.51,"Muzhinji et al., 2015 (https://apsjournals.apsnet.org/doi/epdf/10.1094/PDIS-02-15-0236-RE)"
1737,KJ777558,NA,AG3-PT,AG-3,potato,potato,Solanum tuberosum,Solanaceae,Solanaceae,South Africa,NA,NA,2014,Africa,Sub-Saharan Africa,-8.78,34.51,"Muzhinji et al., 2015 (https://apsjournals.apsnet.org/doi/epdf/10.1094/PDIS-02-15-0236-RE)"
1738,KJ777559,NA,AG3-PT,AG-3,potato,potato,Solanum tuberosum,Solanaceae,Solanaceae,South Africa,NA,NA,2014,Africa,Sub-Saharan Africa,-8.78,34.51,"Muzhinji et al., 2015 (https://apsjournals.apsnet.org/doi/epdf/10.1094/PDIS-02-15-0236-RE)"
1739,KJ777560,NA,AG3-PT,AG-3,potato,potato,Solanum tuberosum,Solanaceae,Solanaceae,South Africa,NA,NA,2014,Africa,Sub-Saharan Africa,-8.78,34.51,"Muzhinji et al., 2015 (https://apsjournals.apsnet.org/doi/epdf/10.1094/PDIS-02-15-0236-RE)"
1740,KJ777561,NA,AG3-PT,AG-3,potato,potato,Solanum tuberosum,Solanaceae,Solanaceae,South Africa,NA,NA,2014,Africa,Sub-Saharan Africa,-8.78,34.51,"Muzhinji et al., 2015 (https://apsjournals.apsnet.org/doi/epdf/10.1094/PDIS-02-15-0236-RE)"
1741,KJ777562,AG3,AG3-PT,AG-3,potato,potato,Solanum tuberosum,Solanaceae,Solanaceae,South Africa,,NA,2014,Africa,Sub-Saharan Africa,-8.78,34.51,"Muzhinji et al., 2015 (https://apsjournals.apsnet.org/doi/epdf/10.1094/PDIS-02-15-0236-RE)"
1742,KJ777563,NA,AG3-PT,AG-3,potato,potato,Solanum tuberosum,Solanaceae,Solanaceae,South Africa,NA,NA,2014,Africa,Sub-Saharan Africa,-8.78,34.51,"Muzhinji et al., 2015 (https://apsjournals.apsnet.org/doi/epdf/10.1094/PDIS-02-15-0236-RE)"
1743,KJ777566,NA,AG3-PT,AG-3,potato,potato,Solanum tuberosum,Solanaceae,Solanaceae,South Africa,NA,NA,2014,Africa,Sub-Saharan Africa,-8.78,34.51,"Muzhinji et al., 2015 (https://apsjournals.apsnet.org/doi/epdf/10.1094/PDIS-02-15-0236-RE)"
1744,KJ777567,NA,AG3-PT,AG-3,potato,potato,Solanum tuberosum,Solanaceae,Solanaceae,South Africa,NA,NA,2014,Africa,Sub-Saharan Africa,-8.78,34.51,"Muzhinji et al., 2015 (https://apsjournals.apsnet.org/doi/epdf/10.1094/PDIS-02-15-0236-RE)"
1745,KJ777568,NA,AG3-PT,AG-3,potato,potato,Solanum tuberosum,Solanaceae,Solanaceae,South Africa,NA,NA,2014,Africa,Sub-Saharan Africa,-8.78,34.51,"Muzhinji et al., 2015 (https://apsjournals.apsnet.org/doi/epdf/10.1094/PDIS-02-15-0236-RE)"
1746,KJ777573,NA,AG3-PT,AG-3,potato,potato,Solanum tuberosum,Solanaceae,Solanaceae,South Africa,NA,NA,2014,Africa,Sub-Saharan Africa,-8.78,34.51,"Muzhinji et al., 2015 (https://apsjournals.apsnet.org/doi/epdf/10.1094/PDIS-02-15-0236-RE)"
1747,KJ777574,NA,AG3-PT,AG-3,potato,potato,Solanum tuberosum,Solanaceae,Solanaceae,South Africa,NA,NA,2014,Africa,Sub-Saharan Africa,-8.78,34.51,"Muzhinji et al., 2015 (https://apsjournals.apsnet.org/doi/epdf/10.1094/PDIS-02-15-0236-RE)"
